S1,S2,S4r1,S4r2,S4r3,S4r4,S4r5,S4r98,S4r99,D4,D5,D6,S12r1,S12r2,S12r3,S12r4,S13r1,S13r2,S13r3,S13r4,S15r1,S15r2,S15r3,S15r4,S15r5,S15r6,S15r7,S15r8,S15r9,S15r10,S15r11,VL1r1,VL1r2,VL1r3,VL1r4,VL1r5,VL1r6,VL1r7,VL1r8,VL1r9,VL1r10,VL1r11,VL1r12,VL1r13,VL1r14,VL1r15,VL2,VL3r1,VL3r2,VL3r3,VL3r4,VL3r5,VL3r6,VL4r1,VL4r2,VL4r3,VL4r4,VL4r5,VL4r6,TEAM6r1,TEAM6r2,TEAM6r3,TEAM6r4,TEAM6r5,TEAM6r6,TEAM6r7,TEAM6r8,TEAM6r9,TEAM6r10,TEAM6r11,TEAM6r12,TEAM6r13,TEAM6r14,TEAM6r15,TEAM6r16,TEAM6r17,TEAM6r18,TEAM6r19,TEAM6r20,TEAM6r21,TEAM6r22,TEAM6r23,TEAM6r24,TEAM6r25,TEAM6r26,TEAM6r27,TEAM6r28,TEAM6r29,TEAM6r30,TEAM6r31,TEAM6r32,TEAM7r1,TEAM7r2,TEAM7r3,TEAM7r4,TEAM7r5,TEAM7r6,TEAM7r7,TEAM7r8,TEAM7r9,TEAM7r10,TEAM8r1,TEAM8r2,TEAM8r3,TEAM8r4,TEAM8r5,TEAM8r6,TEAM8r7,TEAM8r8,TEAM8r9,TEAM8r10,TEAM8r11,TEAM8r12,TEAM8r13,NFL1r1,NFL1r2,NFL1r3,NFL1r4,NFL2r1,NFL2r2,NFL2r3,NFL2r4,NFL2r5,NFL3,NFL4
1,38,1,0,0,0,0,0,0,2,2,5,0,28,10,12,6.0,4.0,0.0,0.0,6.0,,3.0,,6.0,4.0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,,1.0,,1.0,1.0,1.0,,1.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,0.0,2.0,3.0,3.0,1.0,4.0,1.0,1.0
2,59,0,0,1,0,0,0,0,2,4,2,5,40,1,4,1.0,0.0,0.0,0.0,4.0,3.0,,,5.0,3.0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,1.0,1.0,,,2.0,2.0,2.0,2.0,,,1.0,2.0,,,,,,,,,3.0,,,,,,,3.0,,,,,,3.0,,,,,,3.0,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,1.0,3.0,2.0,3.0,2.0,5.0,1.0,1.0
2,27,0,0,0,1,0,0,0,2,1,5,9,8,3,0,3.0,0.0,0.0,0.0,5.0,4.0,,,4.0,3.0,,,4.0,4.0,5.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,4.0,2.0,1.0,,,2.0,1.0,1.0,1.0,,,2.0,2.0,4.0,,4.0,,,,,,,,,,,,,,3.0,,2.0,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,1.0,0.0,4.0,3.0,2.0,2.0,4.0,3.0,2.0
1,74,1,0,0,0,0,0,0,3,5,4,10,6,4,0,4.0,0.0,0.0,0.0,4.0,,5.0,5.0,4.0,6.0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,,1.0,1.0,2.0,1.0,2.0,,1.0,2.0,2.0,2.0,,,,,,,,,,,1.0,2.0,,,,,,,,,,,3.0,,,,,3.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,1.0,4.0,2.0,2.0,1.0,1.0,1.0,1.0
2,51,0,0,1,0,0,0,0,5,1,5,3,25,2,0,2.0,0.0,0.0,0.0,4.0,,,,4.0,,,,,,,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,,,,1.0,,1.0,,,,1.0,,,3.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,1.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0
2,62,1,0,0,0,0,0,0,2,5,2,20,46,4,0,3.0,0.0,0.0,1.0,4.0,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,,,,,,2.0,,,,,,,,,,,,,1.0,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,1.0,4.0,4.0,4.0,4.0,4.0,1.0,1.0
2,70,1,0,0,0,0,0,0,3,5,4,5,19,0,0,,,,,4.0,3.0,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,,,,,1.0,2.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,1.0,4.0,4.0,4.0,1.0,4.0,1.0,1.0
2,25,0,1,0,0,0,0,0,4,1,5,1,1,1,1,1.0,0.0,0.0,0.0,6.0,5.0,,,,,,,,,,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,6.0,1.0,1.0,,,,,1.0,1.0,,,,,,,1.0,1.0,,,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,5.0,3.0
1,27,1,0,0,0,0,0,0,6,1,6,5,15,5,0,3.0,1.0,0.0,1.0,6.0,6.0,6.0,6.0,6.0,,,,6.0,,,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,6.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,2.0,,,,2.0,,,,,,,,1.0,2.0,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,5.0,2.0
2,61,1,0,0,0,0,0,0,2,3,6,0,10,10,0,10.0,0.0,0.0,0.0,4.0,,6.0,,,,,,,,5.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,,1.0,,,,1.0,,1.0,,,,,,3.0,,,,,,,,2.0,,,,,,,,,,,2.0,,,,,,,,2.0,,3.0,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0
2,32,0,1,0,0,0,0,0,4,1,6,3,5,2,0,1.0,1.0,0.0,0.0,5.0,5.0,5.0,5.0,5.0,,5.0,5.0,5.0,,,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,6.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,,,2.0,,,,2.0,,,,,2.0,,,,,,,,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,1.0,0.0,1.0,1.0,2.0,1.0,1.0,4.0,3.0
1,41,0,0,0,1,0,0,0,3,1,5,12,15,11,3,3.0,3.0,3.0,2.0,5.0,5.0,5.0,5.0,5.0,,5.0,5.0,3.0,,,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,6.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,,,1.0,,,,1.0,,,,1.0,,,,,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,5.0,5.0
2,46,0,0,1,0,0,0,0,5,2,4,7,35,0,0,,,,,5.0,,,,,,,,,,,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,,,,,,1.0,,,,,,,,,,,4.0,,,1.0,,,,,4.0,,,,,,,,,,,,4.0,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,1.0,0.0,4.0,4.0,4.0,2.0,3.0,1.0,1.0
2,63,1,0,0,0,0,0,0,4,5,4,5,24,6,0,6.0,0.0,0.0,0.0,3.0,,6.0,4.0,,,,,,,,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,,2.0,2.0,,,2.0,,1.0,1.0,,,,,,,,,3.0,3.0,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,1.0,4.0,4.0,4.0,4.0,4.0,1.0,1.0
2,67,1,0,0,0,0,0,0,1,5,4,5,30,2,3,2.0,0.0,0.0,0.0,4.0,,,,,,,,,,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,1.0,4.0,4.0,4.0,4.0,4.0,3.0,1.0
2,52,0,1,0,0,0,0,0,3,1,4,0,4,5,6,1.0,3.0,1.0,0.0,6.0,5.0,,4.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,1.0,,2.0,,,1.0,1.0,,2.0,,,,,1.0,1.0,,1.0,,,1.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0
1,69,1,0,0,0,0,0,0,2,1,5,2,0,8,0,8.0,0.0,0.0,0.0,3.0,,5.0,5.0,4.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,,2.0,2.0,2.0,,2.0,,1.0,1.0,2.0,,,,3.0,,,,1.0,3.0,4.0,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,1.0,4.0,4.0,4.0,4.0,4.0,1.0,1.0
2,28,0,0,0,1,0,0,0,7,6,2,0,10,0,0,,,,,4.0,4.0,,,,,4.0,,,,,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,,,,,1.0,1.0,,,,,,3.0,4.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,2.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,1.0,3.0,1.0,1.0,1.0,3.0,1.0,1.0
2,50,1,0,1,0,0,0,0,6,1,6,0,16,4,0,4.0,0.0,0.0,0.0,5.0,4.0,,4.0,4.0,4.0,5.0,5.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,,1.0,2.0,1.0,2.0,2.0,,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,1.0,4.0,3.0,3.0,3.0,4.0,1.0,1.0
1,71,1,0,0,0,0,0,0,4,5,6,2,6,6,1,6.0,0.0,0.0,0.0,4.0,,5.0,3.0,5.0,,,,,,,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,,1.0,2.0,2.0,,2.0,,1.0,1.0,2.0,,,,,,,,,3.0,,,,3.0,,,,,,,,,,3.0,,,,2.0,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,1.0,4.0,4.0,2.0,4.0,4.0,1.0,1.0
2,72,1,0,0,0,0,0,0,1,5,4,8,12,0,0,,,,,5.0,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,,,,,,1.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,1.0,4.0,4.0,4.0,4.0,4.0,1.0,1.0
1,34,0,1,0,0,0,0,0,6,1,6,5,10,20,10,5.0,5.0,5.0,5.0,5.0,6.0,,4.0,,,,,,,,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0,1.0,,2.0,,,2.0,1.0,,1.0,,,,,,3.0,,,4.0,,,,,1.0,,,,,3.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,0.0,0.0,2.0,1.0,3.0,1.0,2.0,4.0,4.0
2,65,1,0,0,0,0,0,0,2,5,5,5,20,0,0,,,,,3.0,,,,3.0,3.0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,,,,2.0,2.0,2.0,,,,2.0,1.0,3.0,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,1.0,3.0,4.0,3.0,5.0,5.0,1.0,1.0
2,40,1,0,0,0,0,0,0,6,1,6,25,23,2,0,2.0,0.0,0.0,0.0,4.0,3.0,,,,,,,,,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,2.0,2.0,,,,,1.0,2.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,0.0,0.0,3.0,3.0,4.0,4.0,4.0,3.0,2.0
1,67,1,0,0,0,0,0,0,4,5,3,7,22,1,0,1.0,0.0,0.0,0.0,3.0,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,,,,,,2.0,,,,,,,,,,,,,,4.0,,,,,,,4.0,,,,,,,,,,4.0,4.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,1.0,5.0,5.0,5.0,5.0,4.0,1.0,1.0
1,42,1,0,0,0,0,0,0,6,1,6,2,0,6,0,2.0,2.0,2.0,0.0,4.0,,5.0,5.0,6.0,5.0,,,,,,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,1.0,,1.0,1.0,1.0,2.0,2.0,,2.0,1.0,1.0,2.0,,,,4.0,,,,,,,,,,,,,,,4.0,4.0,,,4.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,1.0,3.0,2.0,2.0,2.0,2.0,1.0,1.0
2,37,0,0,1,0,0,0,0,5,4,5,1,20,0,4,,,,,4.0,4.0,,,3.0,4.0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,2.0,2.0,,,2.0,2.0,2.0,2.0,,,2.0,2.0,,,,,,,,,,,,,,,,4.0,,,,,,4.0,,3.0,,,4.0,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0
1,35,1,0,0,0,0,0,0,1,1,5,0,30,0,0,,,,,3.0,,,,4.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,,,,1.0,,2.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,1.0,5.0,5.0,5.0,5.0,5.0,1.0,1.0
1,37,1,0,0,0,0,0,0,5,1,2,1,2,0,0,,,,,6.0,,,,6.0,,,,,,,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,5.0,2.0,,,,2.0,,1.0,,,,1.0,,,,4.0,,,4.0,,,4.0,,,4.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,1.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0
1,49,1,0,0,0,0,0,0,1,3,2,5,6,20,0,6.0,4.0,4.0,6.0,6.0,6.0,6.0,6.0,5.0,5.0,,,,5.0,5.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,1.0,,,,1.0,,,,,,,,,,1.0,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2,37,1,0,0,0,0,0,0,5,1,6,3,8,8,1,5.0,1.0,1.0,1.0,6.0,6.0,,,,,,,,,,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,1.0,,,,,1.0,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,1.0,1.0,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,0.0,0.0,1.0,2.0,2.0,1.0,2.0,5.0,4.0
2,32,0,1,0,0,0,0,0,3,1,5,1,7,1,1,0.0,0.0,1.0,0.0,4.0,4.0,,,3.0,,,3.0,3.0,3.0,4.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0,,,1.0,,1.0,1.0,,,1.0,,,2.0,,,,,,,,,,,,,,,2.0,,,2.0,,,,,2.0,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,1.0,0.0,2.0,2.0,4.0,4.0,4.0,3.0,1.0
2,43,1,0,0,0,0,0,0,4,1,5,1,0,0,9,,,,,4.0,4.0,4.0,4.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,2.0,2.0,2.0,,,1.0,1.0,1.0,1.0,,,,,,,,3.0,,,,,2.0,,,3.0,2.0,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,1.0,4.0,3.0,4.0,4.0,4.0,2.0,2.0
1,65,1,0,0,0,0,0,0,1,5,4,15,15,15,0,12.0,1.0,1.0,1.0,5.0,4.0,5.0,4.0,6.0,6.0,,,,,,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,,,,,,,,3.0,,,,3.0,,,,,,,,,,1.0,,,,,,,,2.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,1.0,3.0,3.0,3.0,2.0,4.0,3.0,1.0
1,73,1,0,0,0,0,0,0,3,5,6,6,25,8,1,8.0,0.0,0.0,0.0,6.0,,,4.0,,,,,,,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,1.0,,,2.0,,,1.0,,,1.0,,,1.0,,1.0,,,,1.0,,,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0
